product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Salade & Compagnie Manhattan Poulet Roti,3242274030056,"['en:meals', 'en:pasta-dishes', 'en:prepared-salads', 'en:meals-with-meat', 'en:pasta-salads', 'en:poultry-meals', 'en:salads-with-meat', 'en:meals-with-chicken', 'en:pasta-salad-with-meat', 'en:pasta-salad-with-chicken']",2,[],"['en:e322', 'en:e322i', 'en:e500', 'en:e500ii']",186.0,8.8,2.5,4.1,2.8,8.3,0.53
meat feast pizza,10001295,"['en:meals', 'en:meals-with-meat']",0,[],[],187.0,5.02,1.04,6.56,1.78,9.65,0.862
Poulet🐔 au Curry et Noix de Coco 🥥,3248832940539,"['en:condiments', 'en:meals', 'en:meats-and-their-products', 'en:specific-products', 'en:refrigerated-foods', 'en:meals-with-meat', 'en:refrigerated-meals', 'en:rice-dishes', 'en:sauces', 'en:meal-sauces', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:chicken-curry', 'en:licensed-products', 'en:low-fat-prepared-meals']",0,[],[],90.0,2.5,1.6,2.5,1.1,6.3,0.6
Couscous Oriental légumes cuisinés et poulet émincé,3248832940522,"['en:meats-and-their-products', 'en:meals', 'en:fresh-foods', 'en:meals-with-meat', 'en:savory-semolina-dishes', 'en:fresh-meals', 'en:poultry-meals', 'en:prepared-couscous', 'en:couscous-with-meat', 'en:meals-with-chicken', 'en:microwave-meals', 'en:chicken-couscous', 'en:couscous', 'en:low-fat-prepared-meals', 'fr:plats-prepares-a-rechauffer-au-bain-marie']",0,[],[],91.0,1.8,0.3,2.2,1.4,6.9,0.69
Le Ravioli pur boeuf,3038352880305,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:canned-foods', 'en:cereals-and-potatoes', 'en:meats-and-their-products', 'en:cereals-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:pastas', 'en:meals-with-meat', 'en:stuffed-pastas', 'en:beef-dishes', 'en:pasta-stuffed-with-meat', 'en:ravioli', 'en:canned-meals', 'en:meat-ravioli', 'en:beef-ravioli', 'en:canned-raviolis', 'en:canned-raviolis-filled-with-meat-in-tomato-sauce']",1,[],['en:e14xx'],91.0,2.3,0.8,1.4,1.6,3.8,0.75
Le Cassoulet Mitonné,3261055930439,"['en:canned-foods', 'en:meals', 'en:meals-with-meat', 'en:bean-dishes', 'en:canned-meals', 'en:cassoulets']",2,[],"['en:e14xx', 'en:e509']",115.0,4.7,1.8,0.6,3.8,7.3,0.0
Ravioli pur bœuf  sans colorant ni conservateur,3038352880206,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:canned-foods', 'en:cereals-and-potatoes', 'en:meats-and-their-products', 'en:cereals-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:pastas', 'en:meals-with-meat', 'en:stuffed-pastas', 'en:beef-dishes', 'en:pasta-stuffed-with-meat', 'en:ravioli', 'en:canned-meals', 'en:meat-ravioli', 'en:beef-ravioli', 'en:canned-raviolis']",1,[],['en:e14xx'],91.0,2.3,0.8,1.6,0.8,3.8,0.9
Le Cassoulet Mitonné,3261055930422,"['en:canned-foods', 'en:meals', 'en:meals-with-meat', 'en:bean-dishes', 'en:canned-meals', 'en:cassoulets']",2,[],"['en:e14xx', 'en:e509']",115.0,4.7,1.8,0.6,3.8,7.3,0.81
"Risotto poulet & cèpes, crème fraîche, petits oignons",3302740606106,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:risottos', 'en:meals-with-chicken', 'en:microwave-meals', 'en:vegetable-risottos', 'en:chicken-risottos', 'en:mushrooms-risottos', 'en:risottos-with-porcini-mushrooms']",0,[],[],129.0,5.6,2.9,0.8,0.5,5.6,0.66
Paupiette de veau jardinière de légumes,3166359678103,"['en:meats-and-their-products', 'en:meals', 'en:meats', 'en:meals-with-meat', 'en:beef-dishes', 'en:veal-meat', 'en:microwave-meals', 'en:veal-meat-dishes', 'en:olive-veal']",0,[],[],111.0,4.9,1.5,1.6,2.1,8.1,0.58
Dolce pizza prosciutto,3242272346050,"['en:meals', 'en:pizzas-pies-and-quiches', 'en:meals-with-meat', 'en:pizzas', 'en:pork-meals', 'en:ham-pizzas', 'en:cured-ham-pizza']",3,[],"['en:e250', 'en:e316', 'en:e451']",205.0,5.0,3.3,2.0,2.1,12.0,1.1
Penne au Poulet et au Pesto,3248832960209,"['en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals']",0,[],[],186.0,7.9,1.5,1.6,1.2,8.0,0.65
Le Chili Con Carne et son riz blanc,3302740484100,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:beef-dishes', 'en:microwave-meals', 'en:chili-con-carne']",0,[],[],354.0,9.3,3.0,5.7,7.8,19.0,2.37
La Moussaka Boeuf & Aubergines avec une touche de menthe douce,3302740044786,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:microwave-meals', 'en:moussaka', 'fr:plats-prepares-a-rechauffer-au-four']",1,[],['en:e428'],128.0,8.0,2.7,3.9,1.3,6.7,0.73
Hachis parmentier emmental,3302740057465,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:beef-cottage-pies']",0,[],[],144.0,7.9,4.6,2.8,1.2,7.6,0.62
Macaroni sauce tomate et boulettes au bœuf,3248832967284,"['en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:beef-dishes', 'en:microwave-meals', 'fr:macaronis-boulettes-de-boeuf']",0,[],[],154.0,5.7,1.2,2.8,1.3,7.0,0.67
Emincés de boeuf sauce poivre & pommes de terre,3302746964026,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:condiments', 'en:meats-and-their-products', 'en:beef-and-its-products', 'en:meals', 'en:meats', 'en:beef', 'en:meals-with-meat', 'en:sauces', 'en:beef-dishes', 'en:microwave-meals', 'en:pepper-sauces', 'fr:e']",0,[],[],143.0,7.5,1.79,0.786,1.0,6.43,0.607
Le Filet de Poulet et ses Pommes de Terre à la Sarladaise,3302748427024,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals']",0,[],[],157.0,6.5,1.9,0.9,1.3,10.0,0.73
Paëlla royale aux petites gambas et au safran,3248830724971,"['en:seafood', 'en:fishes-and-their-products', 'en:fishes', 'en:frozen-foods', 'en:meals', 'en:meats-and-their-products', 'en:meals-with-meat', 'en:rice-dishes', 'en:combination-meals', 'en:frozen-ready-made-meals', 'en:microwave-meals', 'en:paella', 'fr:plats-a-base-de-mollusques']",0,[],[],98.0,2.5,0.6,1.2,0.8,5.4,0.79
La Tajine de Boeuf et ses Légumes du Soleil,3302740368103,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:tajine', 'en:beef-tajine']",0,[],[],118.0,5.2,1.0,3.7,1.7,5.0,0.79
Le Parmentier de Boeuf Charolais purée à la crème fraîche,3302740030925,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:microwave-meals', 'en:beef-cottage-pies']",1,[],['en:e392'],137.0,6.5,3.4,2.6,1.2,9.2,0.71
Dolce Pizza - Regina,3242272347552,"['en:meats-and-their-products', 'en:meals', 'en:pizzas-pies-and-quiches', 'en:meals-with-meat', 'en:pizzas', 'en:pork-meals', 'en:ham-pizzas', 'en:cured-ham-pizza', 'en:pizza-with-ham-and-cheese']",5,[],"['en:e250', 'en:e316', 'en:e407', 'en:e451', 'en:e579']",179.0,3.7,2.2,1.7,2.9,10.0,1.2775
Parmentier de canard,3338310000715,"['en:meats-and-their-products', 'en:meals', 'en:fresh-foods', 'en:meals-with-meat', 'en:fresh-meals', 'en:poultry-meals', 'en:duck-dishes', 'en:shepherd-s-pie-with-duck']",0,[],[],152.0,8.9,3.2,2.2,,6.0,0.79
Caesar Poulet rôti,3367651004878,"['en:meals', 'en:meats-and-their-products', 'en:fresh-foods', 'en:prepared-salads', 'en:meals-with-meat', 'en:fresh-meals', 'en:poultry-meals', 'en:refrigerated-foods', 'en:salads-with-meat', 'en:meals-with-chicken', 'en:refrigerated-meals', 'en:caesar-salads', 'en:chicken-salads', 'en:salads']",7,[],"['en:e260', 'en:e262', 'en:e326', 'en:e330', 'en:e407a', 'en:e415', 'en:e451']",108.0,7.8,0.9,2.2,1.3,4.9,0.7
"Tagliatelles au Poulet 🐔, Champignons🍄Crème",3166352940054,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:meals', 'en:fresh-foods', 'en:pasta-dishes', 'en:meals-with-meat', 'en:fresh-meals', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:low-fat-prepared-meals', 'fr:platss-prepares']",0,[],[],103.0,2.4,0.9,1.0,0.9,7.8,0.88
Classic Butter Chicken Kit,5052675000224,"['en:condiments', 'en:meals', 'en:meals-with-meat', 'en:sauces', 'en:poultry-meals', 'en:tomato-sauces', 'en:meals-with-chicken', 'en:butter-chicken']",0,[],[],141.0,10.1,5.33,6.0,2.2,2.53,1.31
Ravioli boeuf,3240930116120,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:meats-and-their-products', 'en:cereals-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:pastas', 'en:meals-with-meat', 'en:stuffed-pastas', 'en:beef-dishes', 'en:fresh-pasta', 'en:pasta-stuffed-with-meat', 'en:ravioli', 'en:fresh-pasta-stuffed-with-meat', 'en:meat-ravioli', 'en:beef-ravioli', 'en:cooked-fresh-pasta-stuffed-with-meat']",0,[],[],264.0,7.0,2.0,3.8,2.4,9.0,1.0
Paëlla à la Valenciana,3270160697861,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:frozen-ready-made-meals', 'en:paella', 'en:paella-surgelee', 'en:plats-a-la-volaille', 'en:produits-a-la-viande']",2,[],"['en:e250', 'en:e301']",140.0,5.1,1.2,1.5,1.6,7.6,0.71
"Aiguillettes de poulet à la moutarde et au citron, écrasée de pommes de terre et carottes",3270160726080,"['en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:combination-meals', 'en:poultry-meals', 'en:frozen-ready-made-meals', 'en:meals-with-chicken']",1,[],['en:e330'],79.0,2.6,1.0,1.9,1.6,6.9,0.19
Lasagnes de bœuf à la crème de mozzarella,3338310001279,"['en:meats-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:prepared-lasagne', 'en:beef-dishes', 'en:refrigerated-foods', 'en:meat-lasagnas', 'en:refrigerated-meals', 'en:bolognese-lasagne']",0,[],[],151.0,7.5,3.3,2.6,,7.2,0.67
Aiguillettes de poulet au miel et aux épices semoule,3270160862481,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meats', 'en:chicken-and-its-products', 'en:poultries', 'en:meals-with-meat', 'en:savory-semolina-dishes', 'en:chickens', 'en:combination-meals', 'en:poultry-meals', 'en:frozen-ready-made-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:low-fat-prepared-meals', 'fr:aiguillettes-de-poulet']",0,[],[],123.0,1.5,0.3,4.9,4.7,8.4,0.35
"La Paëlla Valenciana, poulet rôti, chorizo et fruits de mer",3302741859105,"['en:meals', 'en:meats-and-their-products', 'en:fresh-foods', 'en:refrigerated-foods', 'en:meals-with-meat', 'en:refrigerated-meals', 'en:rice-dishes', 'en:fresh-meals', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:paella']",1,[],['en:e428'],182.0,8.0,1.6,0.7,1.2,11.0,0.71
Quinoa poulet et sésame,3478820003193,"['en:canned-foods', 'en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'fr:cereales-preparees', 'en:meals-with-chicken', 'en:microwave-meals', 'en:quinoa-dishes']",0,[],[],175.0,6.9,1.2,3.0,6.5,6.9,0.7
Parmentier de boeuf Aubrac,3338310000296,"['en:meals', 'en:meats-and-their-products', 'en:fresh-foods', 'en:meals-with-meat', 'en:beef-dishes', 'en:fresh-meals', 'en:microwave-meals', 'en:beef-cottage-pies']",0,[],[],172.0,11.0,3.6,1.7,1.7,6.3,15.0
"Escalope Milanaise, Dinde 100% filet",3166352967907,"['en:meats-and-their-products', 'en:meals', 'en:meats', 'en:fresh-foods', 'en:pasta-dishes', 'en:poultries', 'en:meals-with-meat', 'en:fresh-meals', 'en:poultry-meals', 'en:microwave-meals', 'en:turkey-dishes', 'fr:escalopes-milanaises-aux-spaghettis']",0,[],[],160.0,6.4,0.9,2.6,1.2,7.9,0.65
Cassoulet au canard,3245361001120,"['en:canned-foods', 'en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:bean-dishes', 'en:canned-meals', 'en:duck-dishes', 'en:cassoulets', 'en:cassoulets-with-duck-confit']",0,[],[],134.0,6.0,2.2,0.5,4.7,11.0,0.8
Cassoulet au Canard,3245361002240,"['en:canned-foods', 'en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:bean-dishes', 'en:canned-meals', 'en:duck-dishes', 'en:cassoulets', 'en:cassoulets-with-duck-confit']",0,[],[],134.0,6.0,2.2,0.5,0.0,11.0,0.8
Le Rougail Saucisse et son riz créole,3302740031038,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:pork-meals', 'en:microwave-meals', 'fr:rougail-saucisse']",0,[],[],155.0,7.6,2.1,1.9,1.3,5.1,0.725
Nouilles japonaises saveur boeuf teppanyaki,3229820765372,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:meals', 'en:cereals-and-their-products', 'en:dried-products', 'en:pastas', 'en:dried-products-to-be-rehydrated', 'en:meals-with-meat', 'en:noodles', 'en:beef-dishes', 'en:instant-noodles', 'en:chinese-noodles', 'en:instant-noodle-soups', 'en:microwave-meals']",1,[],['en:e635'],80.0,3.5,0.4,0.6,0.6,1.9,0.85
Riz coco curry et poulet rôti,3261055951441,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:meals-with-chicken', 'en:chicken-curry', 'fr:nutriscore-b']",0,[],[],151.0,4.2,1.7,1.1,1.6,5.6,0.98
Tajine de bœuf,4056489564645,"['en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:tajine', 'en:beef-tajine']",1,[],['en:e14xx'],145.0,6.2,1.4,2.3,1.9,5.4,0.9
Corned beef,5000232414700,"['en:canned-foods', 'en:meats-and-their-products', 'en:meals', 'en:meats', 'en:meals-with-meat', 'en:beef-dishes', 'en:canned-meats', 'en:corned-beef']",1,[],['en:e250'],225.0,13.5,6.5,1.1,,24.8,2.2
"Wok&go - Poulet et riz au curry, coco",3302740086113,"['en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:meals-with-chicken', 'en:chicken-curry']",0,[],[],171.0,9.3,2.3,2.5,1.0,5.4,0.66
Poulet & Purée de Courgettes pointe de crème fraîche,3302740975103,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals']",0,[],[],111.0,5.0,2.4,2.7,1.4,5.7,0.67
Lasagnes à la bolognaise,3166352968591,"['en:meats-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:prepared-lasagne', 'en:beef-dishes', 'en:meat-lasagnas', 'en:microwave-meals', 'en:bolognese-lasagne']",0,[],[],136.0,5.3,2.6,3.3,1.0,7.5,0.67
Chicken Gyoza Dinner Dumplings,5060262485583,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:meals', 'en:meats-and-their-products', 'en:pasta-dishes', 'en:pastas', 'en:stuffed-pastas', 'en:meals-with-meat', 'en:pasta-stuffed-with-meat', 'en:ravioli', 'en:meat-ravioli', 'en:poultry-meals', 'en:meals-with-chicken', 'en:japanese-ravioli', 'fr:ravioli-a-la-volaille']",0,[],[],155.0,4.4,1.2,2.5,1.7,8.2,0.71
Poulet et petites pâtes sauce aux champignons,3270160695881,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:poultry-meals', 'en:frozen-ready-made-meals', 'en:meals-with-chicken', 'en:microwave-meals']",0,[],[],130.0,3.4,2.1,1.0,1.1,7.8,0.59
XtremBox - Radiatori  Bœuf Sauce au poivre,3242272261650,"['en:condiments', 'en:meals', 'en:meats-and-their-products', 'en:pasta-dishes', 'en:meals-with-meat', 'en:sauces', 'en:beef-dishes', 'en:instant-pasta', 'en:microwave-meals', 'en:pasta-with-meat', 'en:pasta-with-beef', 'en:pots']",2,[],"['en:e202', 'en:e262', 'en:e262i']",166.0,4.7,2.6,0.7,1.3,8.6,0.48
Le Kebab de Poulet et sa Semoule à l'Orientale,3302748083022,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:savory-semolina-dishes', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals']",0,[],[],171.0,8.5,1.3,2.6,0.8,7.3,0.73
Émincés de poulet conchiglie complètes et légumes à l'italienne,3270160862870,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:pastas', 'en:meals-with-meat', 'en:combination-meals', 'en:poultry-meals', 'en:frozen-ready-made-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:conchiglie', 'en:plats-prepares', 'en:plats-prepares-surgeles', 'en:plats-prepares-a-la-viande', 'en:plats-prepares-a-rechauffer-au-micro-ondes', 'en:plats-a-base-de-pates', 'en:plats-a-la-volaille', 'en:produits-a-la-viande', 'en:surgeles']",0,[],[],98.0,2.2,0.7,2.7,3.1,7.9,0.32
Hachis parmentier les classiques du chef,4056489194873,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:microwave-meals', 'en:beef-cottage-pies']",0,[],[],141.0,7.7,4.5,2.8,,7.4,0.67
Les Saucisse aux lentilles,3049580545560,"['en:canned-foods', 'en:meals', 'en:meals-with-meat', 'en:canned-meals', 'en:lentil-dishes', 'en:sausages-with-lentils']",1,[],['en:e509'],112.0,4.5,1.5,0.6,2.8,7.3,0.79
CremioBox - Poulet & Emmental râpé,3242272256854,"['en:meats-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:instant-pasta', 'en:microwave-meals', 'en:pots']",2,[],"['en:e202', 'en:e262', 'en:e262i']",166.0,5.71,2.86,1.5,1.54,7.86,0.808
Blanquette de poulet,3248830691013,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:low-fat-prepared-meals', 'fr:blanquette-de-poulet']",0,[],[],97.0,2.8,1.2,1.3,1.1,6.4,0.75
Cordon Bleu de Dinde et Coquillettes à l'Emmental,3248830687559,"['en:meats-and-their-products', 'en:meals', 'en:meat-preparations', 'en:meats', 'en:poultries', 'en:meals-with-meat', 'en:turkey-and-its-products', 'en:breaded-products', 'en:poultry-meals', 'en:cordons-bleus', 'en:turkey-dishes', 'en:turkey-preparations', 'en:turkey-cordons-bleus']",1,[],['en:e300'],196.0,11.0,3.7,1.4,1.0,7.8,0.63
Beef Ravioli,5000157068750,"['en:canned-foods', 'en:meats-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:stuffed-pastas', 'en:beef-dishes', 'en:pasta-stuffed-with-meat', 'en:ravioli', 'en:canned-meals', 'en:meat-ravioli', 'en:microwave-meals', 'en:beef-ravioli', 'en:canned-raviolis']",0,[],[],74.0,1.6,0.7,3.1,0.8,2.5,0.6
Coquillettes au Jambon et au Fromage,3248832967277,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:meats-and-their-products', 'en:meals', 'en:fresh-foods', 'en:pasta-dishes', 'en:pastas', 'en:meals-with-meat', 'en:fresh-meals', 'en:pork-meals', 'en:microwave-meals', 'fr:coquillettes', 'fr:coquillettes-jambon-fromage']",1,[],['en:e300'],164.0,7.7,3.0,1.0,0.7,7.3,0.61
Tagliatelles à la carbonara,3270160634439,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:pork-meals', 'en:frozen-ready-made-meals', 'en:microwave-meals', 'en:carbonara-style-pasta', 'en:tagliatelle-with-carbonara']",1,[],['en:e300'],162.0,8.9,5.1,1.1,1.1,6.9,0.66
Huvudroll,1404877870008,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meat-preparations', 'en:meals-with-meat', 'en:beef-dishes', 'en:meat-balls', 'en:swedish-style-pork-and-beef-meat-balls', 'sv:köttbullar']",0,[],[],254.0,20.0,8.5,0.6,1.0,14.0,0.05
Chicken tikka,5060084345539,"['en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:lentil-dishes', 'en:meals-with-chicken', 'en:microwave-meals']",0,[],[],96.0,1.7,1.18,1.8,3.15,8.5,0.295
Salade Garden Poulet rôti Sauce Caesar,3242274500054,"['en:meats-and-their-products', 'en:meals', 'en:prepared-salads', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:caesar-salads', 'en:salads']",0,[],[],162.0,10.0,2.42,1.21,1.58,10.0,0.875
Gésiers de volaille confits,3266980035303,"['en:meats-and-their-products', 'en:meals', 'en:meats', 'en:fish-and-meat-and-eggs', 'en:poultries', 'en:meals-with-meat', 'en:offals', 'en:ducks', 'en:poultry-meals', 'en:gizzards', 'en:chicken-gizzards', 'en:duck-gizzards']",2,[],"['en:e250', 'en:e316']",171.0,8.4,2.4,0.0,0.0,24.0,1.2
Chicken & sweet pepper poke,5035272937483,"['en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken']",0,[],[],140.0,2.14,0.345,5.52,,6.21,0.95
PZ RAVIOLI BOLO 800GR,3038352881005,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:canned-foods', 'en:cereals-and-potatoes', 'en:meats-and-their-products', 'en:cereals-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:pastas', 'en:meals-with-meat', 'en:stuffed-pastas', 'en:beef-dishes', 'en:pasta-stuffed-with-meat', 'en:ravioli', 'en:canned-meals', 'en:meat-ravioli', 'en:beef-ravioli', 'en:bolognese-raviolis', 'en:canned-raviolis']",1,[],['en:e14xx'],103.0,4.3,1.7,1.9,0.7,4.5,0.85
Véritable cassoulet de Castelnaudary,4056489194859,"['en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:bean-dishes', 'en:duck-dishes', 'en:cassoulets', 'en:cassoulets-with-duck-confit', 'en:plats-prepares', 'en:plats-prepares-a-la-viande', 'en:plats-a-base-de-haricots', 'en:plats-a-la-volaille', 'en:produits-a-la-viande']",0,[],[],151.0,7.6,2.6,0.0,0.0,11.0,0.82
"Émincés de poulet, tagliatelles complètes et légumes façon wok",3270160726165,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:poultry-meals', 'en:frozen-ready-made-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:low-fat-prepared-meals']",0,[],[],104.0,1.7,0.4,3.1,2.3,9.1,0.43
Canard confit & écrasé de PDT,3248830692287,"['en:meats-and-their-products', 'en:meals', 'en:meats', 'en:poultries', 'en:meals-with-meat', 'en:ducks', 'en:poultry-meals', 'en:duck-dishes', 'en:microwave-meals', 'en:duck-confit']",0,[],[],148.0,9.1,5.0,0.9,1.0,7.2,0.6
Riz à la cantonaise,3248833087967,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:pork-meals', 'fr:cereales-preparees', 'en:frozen-ready-made-meals', 'en:prepared-rices', 'en:fried-rice']",1,[],['en:e300'],130.0,3.1,0.5,0.5,0.8,4.2,0.66
Tagliatelles au Poulet sauce Pesto,3302740030901,"['en:meals', 'en:meats-and-their-products', 'en:pasta-dishes', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:pots']",0,[],[],139.0,5.7,1.9,2.2,1.2,6.3,0.6
"Poulet au curry et au lait de coco, duo de riz",3270160812936,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meats', 'en:chicken-and-its-products', 'en:poultries', 'en:meals-with-meat', 'en:rice-dishes', 'en:chickens', 'en:cooked-poultries', 'en:poultry-meals', 'en:cooked-chicken', 'en:frozen-ready-made-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:chicken-curry', 'en:chicken-with-curry-and-coconut-milk-sauce']",0,[],[],131.0,4.4,2.5,1.6,0.7,6.7,0.5
Parmentier de canard confit,3302740076466,"['en:meals', 'en:frozen-foods', 'en:meals-with-meat', 'en:poultry-meals', 'en:duck-dishes', 'en:microwave-meals', 'en:shepherd-s-pie-with-duck', 'fr:plats-prepares-a-rechauffer-au-four-traditionnel']",0,[],[],123.0,6.0,3.33,2.2,1.1,7.33,1.92
1898 Petit Salé aux Lentilles,3049580543405,"['en:canned-foods', 'en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:canned-meals', 'en:lentil-dishes', 'en:salt-cured-pork-belly-with-lentils']",2,[],"['en:e451', 'en:e509']",100.0,3.4,1.1,0.5,2.3,8.3,1.0
Ravioli pur bœuf,3021690029086,"['en:canned-foods', 'en:meats-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:meals-with-meat', 'en:stuffed-pastas', 'en:beef-dishes', 'en:pasta-stuffed-with-meat', 'en:ravioli', 'en:canned-meals', 'en:meat-ravioli', 'en:beef-ravioli', 'en:canned-raviolis']",0,[],[],84.0,2.1,0.8,1.9,1.1,3.7,0.85
Piémontaise jambon,4056489363071,"['en:meats-and-their-products', 'en:meals', 'en:prepared-salads', 'en:meals-with-meat', 'en:pork-meals', 'en:potato-dishes', 'en:potato-salads', 'en:piemontese-salads', 'en:piemontese-salads-with-ham']",5,[],"['en:e14xx', 'en:e202', 'en:e250', 'en:e316', 'en:e415']",129.0,8.6,0.8,0.9,1.6,3.7,0.93
Salade poulet rôti bacon fromage,3242274005658,"['en:meals', 'en:fresh-foods', 'en:pasta-dishes', 'en:prepared-salads', 'en:meals-with-meat', 'en:fresh-meals', 'en:pasta-salads', 'en:poultry-meals', 'en:meals-with-chicken']",3,[],"['en:e250', 'en:e322', 'en:e500', 'en:e500ii']",185.0,9.7,2.1,4.4,2.6,8.1,0.81
"Riz à la forestière, poulet rôti",3261055951458,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:meals-with-chicken']",0,[],[],150.0,4.3,1.9,0.9,1.2,5.3,0.96
"Poulet sauce citron vert et coriandre, purée de patate douce",3270160817221,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:frozen-ready-made-meals', 'en:meals-with-chicken', 'en:microwave-meals']",0,[],[],114.0,5.2,2.1,4.4,0.9,5.0,0.49
